"Data Analyst, Marketing & Communications",Parity Technologies,,,https://www.naukri.com/job-listings-data-analyst-marketing-communications-parity-technologies-remote-1-to-4-years-201022502137,1-4 Yrs,1 Day Ago,Not disclosed,remote,"['GDPR', 'data analytics', 'SQL', 'Python', 'GCP', 'Data analysis', 'Social media', 'Manager Technology']"
Senior Business Data Analyst ( Notice Period: 30 Days),Atyeti,3.8,(37 Reviews),https://www.naukri.com/job-listings-senior-business-data-analyst-notice-period-30-days-atyeti-it-services-private-limited-pune-5-to-10-years-151022005412,5-10 Yrs,2 Days Ago,Not disclosed,Hybrid - Pune,[]
Job Opportunity For Data Analyst Graduates,Ajanta Tech Agro,,,https://www.naukri.com/job-listings-opportunity-for-data-analyst-graduates-ajanta-tech-agro-private-limited-pune-0-to-1-years-170122005498,0-1 Yrs,6 Days Ago,"1,00,000 - 1,50,000 PA.",Pune,[]
Sr Data Analyst Il,IHS Markit,4.1,(526 Reviews),https://www.naukri.com/job-listings-sr-data-analyst-il-ihs-markit-gurgaon-gurugram-2-to-5-years-211022500678,2-5 Yrs,1 Day Ago,Not disclosed,Gurgaon/Gurugram,[]
Data Analyst - Legal Operations,Unitedlex,3.5,(296 Reviews),https://www.naukri.com/job-listings-data-analyst-legal-operations-unitedlex-bpo-private-limited-gurgaon-gurugram-bangalore-bengaluru-3-to-7-years-131022012312,3-7 Yrs,8 Days Ago,Not disclosed,"Gurgaon/Gurugram, Bangalore/Bengaluru",[]
Sr. Product Analyst / Sr. Business Analyst / Sr. Data Analyst,Fareportal,3.3,(561 Reviews),https://www.naukri.com/job-listings-sr-product-analyst-sr-business-analyst-sr-data-analyst-fareportal-india-pvt-ltd-delhi-ncr-4-to-8-years-171022008659,4-8 Yrs,4 Days Ago,Not disclosed,Temp. WFH - Delhi / NCR,"['data analysis', 'SQL', 'Python']"
"Analyst, Data Management & Quantitative Analysis",BNY Mellon,4.2,(2598 Reviews),https://www.naukri.com/job-listings-analyst-data-management-quantitative-analysis-bny-mellon-international-operations-india-chennai-0-to-2-years-201022503159,0-2 Yrs,1 Day Ago,Not disclosed,Chennai,"['Analyst', 'Data management', 'Analytical', 'Finance', 'Manager Technology', 'Representative', 'Quantitative analysis']"
Reference Data Analyst,Deutsche Bank,4.2,(2163 Reviews),https://www.naukri.com/job-listings-201022500922,2-5 Yrs,1 Day Ago,Not disclosed,Bangalore/Bengaluru,[]
Data Analyst/Sr Data Analyst (Only Immediate Joiners),Adecco India Private Limited   ,,,https://www.naukri.com/job-listings-data-analyst-sr-data-analyst-only-immediate-joiners-adecco-india-private-limited-bangalore-bengaluru-1-to-5-years-171022002468,1-5 Yrs,1 Day Ago,"10,00,000 - 20,00,000 PA.",Bangalore/Bengaluru,[]
Senior Data Analyst,Cleint of Vision Unlimited,,,https://www.naukri.com/job-listings-senior-data-analyst-cleint-of-vision-unlimited-mohali-chandigarh-2-to-7-years-051120601132,2-7 Yrs,4 Days Ago,"4,00,000 - 6,50,000 PA.","Mohali, Chandigarh","['Business Analytics', 'Data Analysis', 'kpo', 'Reporting', 'Data Analytics']"
Senior Data Analyst,Xpressbees (BusyBees Logistics Solutions Pvt. Ltd.),4.0,(1139 Reviews),https://www.naukri.com/job-listings-senior-data-analyst-xpressbees-busybees-logistics-solutions-pvt-ltd-pune-4-to-9-years-221022900241,4-9 Yrs,Few Hours Ago,Not disclosed,Pune,"['Data Analysis', 'R', 'Spotfire', 'Tableau', 'SQL', 'data normalization', 'statistics']"
Data Analyst - IVMS,Shell,4.4,(1257 Reviews),https://www.naukri.com/job-listings-data-analyst-ivms-shell-india-markets-private-limited-bangalore-bengaluru-2-to-4-years-181022912559,2-4 Yrs,3 Days Ago,Not disclosed,Bangalore/Bengaluru,"['power BI', 'excel', 'technical support', 'data analysis', 'data analytics', 'Vehicle Monitoring System', 'business analytics', 'Vehicle safety inspection']"
Data Analyst - IVMS,Shell,4.4,(1257 Reviews),https://www.naukri.com/job-listings-data-analyst-ivms-shell-india-markets-private-limited-bangalore-bengaluru-2-to-5-years-181022910640,2-5 Yrs,3 Days Ago,Not disclosed,Bangalore/Bengaluru,"['data analysis', 'excel', 'macros', 'Power point', 'data analytics', 'power BI', 'business analytics', 'transportation risk assessment']"
Data Analyst - Data & Analytics,M&amp;G plc,4.2,(7 Reviews),https://www.naukri.com/job-listings-data-analyst-data-analytics-m-amp-g-plc-mumbai-2-to-3-years-151022500346,2-3 Yrs,6 Days Ago,Not disclosed,Mumbai,[]
Data Analyst - Data & Analytics,MG Global,,,https://www.naukri.com/job-listings-data-analyst-data-analytics-mg-global-mumbai-7-to-12-years-151022500284,7-12 Yrs,6 Days Ago,Not disclosed,Mumbai,"['Data analysis', 'Coding', 'Information security', 'Customer service', 'Manager Quality Control', 'Business intelligence', 'Information technology', 'Analytics']"
